FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.538965,POINT (16.393882862743418 48.21655728649247),Auslaufbrunnen,538965,
TRINKBRUNNENOGD.538966,POINT (16.358664299354622 48.209279499565355),Auslaufbrunnen,538966,
TRINKBRUNNENOGD.538967,POINT (16.275651596859724 48.2177699282403),Auslaufbrunnen,538967,
TRINKBRUNNENOGD.538968,POINT (16.412645860747645 48.22056517438636),Auslaufbrunnen,538968,
TRINKBRUNNENOGD.538969,POINT (16.26110252917051 48.1955308552353),Auslaufbrunnen,538969,
TRINKBRUNNENOGD.538970,POINT (16.34157112437841 48.189709182922414),Auslaufbrunnen,538970,
TRINKBRUNNENOGD.538971,POINT (16.377876219304262 48.20436659522349),Auslaufbrunnen,538971,
TRINKBRUNNENOGD.538972,POINT (16.37773356399805 48.20422087832271),Auslaufbrunnen,538972,
TRINKBRUNNENOGD.538973,POINT (16.370722020920198 48.19885362429136),Auslaufbrunnen,538973,
TRINKBRUNNENOGD.538974,POINT (16.42033421890545 48.215046114295255),Auslaufbrunnen,538974,
TRINKBRUNNENOGD.538975,POINT (16.335547490358202 48.20407113166499),Auslaufbrunnen,538975,
TRINKBRUNNENOGD.538976,POINT (16.31839828878609 48.199294801402644),Auslaufbrunnen,538976,
TRINKBRUNNENOGD.538977,POINT (16.376660989137513 48.21170024764263),Auslaufbrunnen,538977,
TRINKBRUNNENOGD.538978,POINT (16.33460638667383 48.181801619674374),Auslaufbrunnen,538978,
TRINKBRUNNENOGD.538979,POINT (16.358975397629386 48.21204642870652),Auslaufbrunnen,538979,
TRINKBRUNNENOGD.538980,POINT (16.321002425134054 48.207913415909644),Auslaufbrunnen,538980,
TRINKBRUNNENOGD.538981,POINT (16.40523933735575 48.2367872450472),Auslaufbrunnen,538981,
TRINKBRUNNENOGD.538982,POINT (16.374385420997985 48.18427722244486),Auslaufbrunnen,538982,
TRINKBRUNNENOGD.538983,POINT (16.24454969517798 48.22554648251286),Auslaufbrunnen,538983,
TRINKBRUNNENOGD.538984,POINT (16.301554241878307 48.185878355976556),Auslaufbrunnen,538984,
TRINKBRUNNENOGD.538985,POINT (16.40289188418326 48.22777155240105),Auslaufbrunnen,538985,
TRINKBRUNNENOGD.538986,POINT (16.403938729304823 48.22698600996136),Auslaufbrunnen,538986,
TRINKBRUNNENOGD.538987,POINT (16.425687890709114 48.199703873995965),Auslaufbrunnen,538987,
TRINKBRUNNENOGD.538988,POINT (16.418137622837072 48.203681516246505),Auslaufbrunnen,538988,
TRINKBRUNNENOGD.538989,POINT (16.376430704213867 48.198563110981794),Auslaufbrunnen,538989,
TRINKBRUNNENOGD.538990,POINT (16.28987728736689 48.18026147511619),Auslaufbrunnen,538990,
TRINKBRUNNENOGD.538991,POINT (16.335748793517638 48.209737431451046),Auslaufbrunnen,538991,
TRINKBRUNNENOGD.538992,POINT (16.3744340354876 48.215918708806065),Auslaufbrunnen,538992,
TRINKBRUNNENOGD.538993,POINT (16.33624694155097 48.21181604174804),Auslaufbrunnen,538993,
TRINKBRUNNENOGD.538994,POINT (16.377584752939796 48.239783704634334),Auslaufbrunnen,538994,
TRINKBRUNNENOGD.538995,POINT (16.412653158962215 48.22570928522324),Auslaufbrunnen,538995,
TRINKBRUNNENOGD.538996,POINT (16.497259495149105 48.15937363475031),Auslaufbrunnen,538996,
TRINKBRUNNENOGD.538997,POINT (16.371857443308716 48.20710472076823),Auslaufbrunnen,538997,
TRINKBRUNNENOGD.538998,POINT (16.256032455992365 48.203633516238185),Auslaufbrunnen,538998,
TRINKBRUNNENOGD.538999,POINT (16.32096978693683 48.264085300401696),Auslaufbrunnen,538999,
TRINKBRUNNENOGD.539000,POINT (16.429238816151795 48.21764504733538),Auslaufbrunnen,539000,
TRINKBRUNNENOGD.539001,POINT (16.36663243684651 48.27816194742802),Auslaufbrunnen,539001,
TRINKBRUNNENOGD.539002,POINT (16.32747601009291 48.21340524785451),Auslaufbrunnen,539002,
TRINKBRUNNENOGD.539003,POINT (16.33054562786544 48.21410733822756),Auslaufbrunnen,539003,
TRINKBRUNNENOGD.539004,POINT (16.314729558187096 48.26253608840133),Auslaufbrunnen,539004,
TRINKBRUNNENOGD.539005,POINT (16.386719800483117 48.222675865477804),Auslaufbrunnen,539005,
TRINKBRUNNENOGD.539006,POINT (16.37978284357403 48.21574897905741),Auslaufbrunnen,539006,
TRINKBRUNNENOGD.539007,POINT (16.349813056019535 48.206306805543896),Auslaufbrunnen,539007,
TRINKBRUNNENOGD.539008,POINT (16.33755818316654 48.215003579808325),Auslaufbrunnen,539008,
TRINKBRUNNENOGD.539009,POINT (16.368162655430773 48.214539650741855),Auslaufbrunnen,539009,
